Index	Vgate	Vsource	Vdrain	Idrain	IdrainPerWg
638	 700.0 mV	 0 V	 3.5000 V	C 100.0030 mA	 10.00030000 mA/um
639	 700.0 mV	 0 V	 3.5500 V	C 100.0050 mA	 10.00050000 mA/um
640	 700.0 mV	 0 V	 3.6000 V	C 100.0030 mA	 10.00030000 mA/um
641	 700.0 mV	 0 V	 3.6500 V	C 100.0040 mA	 10.00040000 mA/um
642	 700.0 mV	 0 V	 3.7000 V	C 100.0050 mA	 10.00050000 mA/um
643	 700.0 mV	 0 V	 3.7500 V	C 100.0040 mA	 10.00040000 mA/um
644	 700.0 mV	 0 V	 3.8000 V	C 100.0040 mA	 10.00040000 mA/um
645	 700.0 mV	 0 V	 3.8500 V	C 100.0040 mA	 10.00040000 mA/um
646	 700.0 mV	 0 V	 3.9000 V	C 100.0040 mA	 10.00040000 mA/um
647	 700.0 mV	 0 V	 3.9500 V	C 100.0050 mA	 10.00050000 mA/um
648	 700.0 mV	 0 V	 4.0000 V	C 100.0040 mA	 10.00040000 mA/um
